"Complex","X2.5_contacts","X4.0_contacts","backbone_alpha","backbone_beta","backbone_other","sidechain_alpha","sidechain_beta","sidechain_other","ligand_HBD","receptor_HBD","hydrophobic","pi.cation","pi.pi","pi.t","salt_bridge","TORSDOF","Experimental"
"1w5y",8,229,0,17,57,0,46,117,7,2,40,0,0,0,0,13,-11.71555295
"1w7g",7,178,0,52,32,0,24,77,2,3,27,2,0,0,2,13,-7.045910385
"1w7x",8,177,0,13,64,0,4,104,4,0,35,1,0,1,2,0,-11.60502887
"1w8l",1,35,0,2,4,0,24,6,0,1,11,0,0,0,0,3,-0.676960017
"1w8m",2,60,0,2,8,0,46,6,0,2,8,0,0,0,0,12,-2.210481689
"1wc1",11,155,17,9,15,53,35,37,0,4,9,0,0,0,3,11,-5.526204223
"1wcq",12,159,0,0,1,0,115,55,4,7,15,0,0,0,6,4,-8.648509609
"1we2",8,79,0,0,18,51,0,18,2,4,5,0,0,0,2,5,-6.023562603
"1wht",7,105,2,3,17,7,19,64,0,5,28,0,2,0,2,3,-5.111738906
"1wm1",3,92,1,1,15,28,12,38,1,2,11,1,0,1,2,12,-8.703771652
"1ws1",9,146,3,41,5,41,30,35,1,4,24,0,0,0,1,6,-13.19381258
"1ws4",7,88,0,14,16,0,38,27,2,3,15,0,0,0,0,6,-4.144653167
"1ws5",6,105,0,16,18,0,41,36,3,3,17,0,0,0,0,4,-4.186099699
"1wvj",10,183,5,26,3,61,73,25,3,7,25,1,0,0,2,6,-9.297838606
"1x38",12,154,0,0,1,12,90,63,4,3,25,0,1,0,0,8,-12.11620276
"1x39",13,148,0,2,1,7,90,61,5,3,15,0,0,0,0,4,-12.73790073
"1x8d",6,81,0,0,0,69,18,0,0,3,0,0,0,0,0,1,-3.053227833
"1x8j",0,20,0,0,1,11,1,7,0,0,7,0,0,0,0,8,-9.615595348
"1x8r",24,280,2,0,9,137,0,156,1,17,17,0,0,0,11,8,-8.455092461
"1x8t",24,235,4,0,3,190,0,62,1,16,17,0,0,0,10,11,-10.77609824
"1xbo",14,195,8,0,11,89,11,90,1,10,34,0,0,0,1,28,-8.344568377
"1xd0",13,236,0,2,27,0,49,171,8,3,19,0,0,0,2,5,-9.836643517
"1xgi",7,108,2,33,7,42,12,19,0,5,11,0,0,2,0,4,-6.700522621
"1xhy",10,126,9,11,4,53,33,26,0,7,24,1,0,0,2,18,-8.537985525
"1xk5",8,163,0,34,0,0,107,30,3,3,25,1,6,0,3,3,-8.289306335
"1xk9",2,98,2,28,0,32,27,11,1,1,39,0,3,0,0,10,-9.463624732
"1xka",4,191,0,7,79,3,6,100,3,1,57,2,2,2,0,7,-9.505071264
"1xpz",8,90,0,0,9,5,37,47,1,2,11,1,0,1,1,7,-9.781381475
"1xq0",8,85,0,0,10,2,43,38,2,1,7,1,1,0,1,6,-8.759033694
"1y0l",2,92,0,2,1,0,90,1,1,1,41,0,5,0,1,2,-12.4339595
"1y20",9,119,3,17,2,38,49,19,3,4,17,1,0,0,2,7,-7.349851617
"1y2f",0,48,0,0,3,0,36,9,0,0,33,0,2,0,1,3,-6.797231195
"1y2g",0,31,0,0,4,0,25,2,0,0,20,0,2,0,0,16,-5.636728308
"1y3n",15,162,3,0,0,88,54,32,1,7,8,0,0,0,3,19,-7.66760836
"1y3p",18,259,2,0,3,97,76,99,2,7,14,0,0,0,4,6,-6.659076089
"1y6r",7,162,0,26,20,27,47,49,4,1,23,0,0,0,2,6,-13.96748117
"1yc1",3,126,15,14,1,57,38,4,2,1,27,0,0,0,1,5,-8.524170014
"1yc4",3,106,17,11,0,38,41,2,2,1,23,0,0,0,0,3,-9.049159415
"1yda",6,87,0,1,10,6,30,46,1,2,3,0,0,0,1,3,-9.049159415
"1ydb",7,91,0,0,4,4,41,49,0,1,7,0,1,0,0,16,-11.3839807
"1ydk",13,140,4,12,4,54,14,65,2,7,11,0,0,0,4,9,-8.137335719
"1yei",5,131,0,1,17,0,96,22,1,4,39,0,3,0,1,13,-10.30637088
"1yej",4,138,0,0,21,0,48,73,0,4,37,0,3,0,1,6,-10.30637088
"1yfz",7,85,0,3,20,0,20,49,1,6,6,0,1,0,1,11,-6.009747093
"1yid",12,143,10,8,24,23,28,62,3,5,8,1,0,0,4,5,-6.907755279
"1yqj",1,122,0,17,28,1,43,34,0,2,57,1,1,0,1,6,-11.24582559
"1yqy",8,137,0,20,7,50,8,60,2,1,18,1,2,0,2,1,-10.52741905
"1yvm",2,45,0,0,4,0,1,42,0,0,22,1,0,1,0,12,-8.841926757
"1z3t",9,148,0,0,12,0,10,135,3,4,9,0,0,0,0,12,-5.44331116
"1z3v",12,158,0,0,15,0,8,147,5,3,10,0,0,0,0,7,-5.678174839
"1z4n",10,163,9,0,41,99,0,24,1,7,9,0,0,0,3,8,-6.244610772
"1z6e",5,173,0,38,37,0,23,80,2,1,43,0,4,3,0,7,-13.42867626
"1z6s",7,151,0,5,0,20,66,67,2,5,14,1,2,0,3,10,-5.995931582
"1z71",5,148,0,48,19,0,26,60,2,1,51,0,0,0,0,6,-12.68263869
"1z9g",6,85,0,4,0,38,28,21,1,2,13,0,0,1,1,6,-7.791947955
"1zdp",6,88,0,3,0,46,23,22,1,3,17,1,0,1,1,7,-7.93010306
"1zgi",1,109,0,31,20,0,22,37,1,1,32,0,1,0,0,6,-7.377482638
"1zhy",3,52,1,0,5,22,15,12,2,0,25,0,0,0,0,1,-9.007712884
"1zog",0,48,0,4,1,0,37,6,0,0,15,0,0,0,0,0,-9.878090049
"1zoh",0,51,0,4,3,0,35,9,0,0,14,0,0,0,0,17,-9.670857391
"1zp8",7,169,0,24,30,0,53,69,3,1,36,0,0,0,0,19,-12.11620276
"1zpa",5,163,0,19,33,0,40,76,1,3,32,0,0,0,0,4,-11.60502887
"220l",0,23,1,0,0,22,0,0,0,0,22,0,0,0,0,7,-4.69727359
"2a31",7,98,0,14,42,0,6,43,4,1,5,0,0,0,1,5,-1.395366566
"2a5b",5,100,0,1,0,0,84,20,3,1,11,0,4,0,0,5,-5.429495649
"2a5c",5,89,0,3,0,0,68,23,1,2,15,0,0,1,0,5,-6.382765878
"2a8g",8,105,0,0,0,0,100,13,1,2,9,0,0,3,0,4,-5.097923396
"2aac",6,97,0,0,11,0,88,4,2,3,17,0,0,0,0,5,-3.067043344
"2ada",9,149,0,5,7,24,18,104,4,4,23,1,1,0,0,3,-17.96016373
"2afw",5,79,0,0,16,0,12,56,2,2,9,0,0,0,0,2,-6.589998536
"2afx",1,50,0,0,3,0,5,43,0,1,15,0,0,1,0,3,-7.114987937
"2aj8",2,109,5,1,0,38,0,67,1,1,36,0,2,1,2,14,-8.565616546
"2am4",13,182,8,21,11,38,38,79,3,7,13,0,0,0,3,16,-5.139369928
"2amt",10,192,0,31,51,1,35,84,4,4,20,0,0,0,2,3,-6.134086688
"2ans",1,53,0,0,0,8,36,10,0,0,15,2,0,1,1,30,-8.17878225
"2aoc",14,242,0,45,49,0,64,98,8,4,35,0,0,0,2,30,-6.755784663
"2aod",14,234,0,46,44,0,69,89,7,4,31,0,0,0,2,30,-7.819578976
"2aoe",12,204,0,46,41,0,57,72,8,4,21,0,0,0,4,30,-10.52741905
"2aog",12,230,0,45,54,0,72,71,7,4,27,0,0,0,2,19,-8.67614063
"2aqu",7,164,0,32,46,0,33,60,5,2,45,0,0,0,2,6,-12.87605584
"2arm",2,71,1,0,27,24,0,21,1,0,21,0,0,0,0,30,-11.23201008
"2avm",13,220,0,43,48,0,68,74,7,4,30,0,0,0,2,14,-7.874841018
"2avo",5,152,0,25,33,0,39,60,3,1,38,0,0,0,2,30,-12.22672684
"2avq",12,228,0,41,47,0,71,81,7,4,33,0,0,0,2,14,-6.065009135
"2avs",6,162,0,26,35,0,38,69,3,2,39,0,0,0,2,14,-10.45834149
"2avv",4,154,0,21,38,0,43,56,3,1,44,0,0,0,2,9,-12.79316278
"2b07",8,109,8,0,9,28,3,69,0,6,24,0,0,0,3,2,-8.883373289
"2b4l",3,69,9,0,2,18,18,25,0,3,31,6,0,0,2,15,-6.589998536
"2bfq",9,203,7,6,49,26,26,98,1,7,33,0,2,0,0,9,-9.518886774
"2bfr",7,147,7,2,42,23,1,79,1,4,18,0,2,0,0,1,-7.253143043
"2bjm",2,89,0,0,0,0,31,60,0,0,55,0,7,4,0,10,-5.111738906
"2bmz",6,97,0,25,12,0,48,18,2,3,6,0,0,0,0,6,-5.111738906
"2bo4",7,74,15,0,0,27,0,39,0,6,3,0,0,0,2,6,-6.368950367
"2boh",0,137,0,33,38,0,25,41,0,1,45,3,0,0,0,14,-11.770815
"2bpv",6,127,0,13,36,0,32,52,4,1,20,0,0,0,2,14,-10.5964966
"2bpy",7,155,0,17,39,0,31,75,4,1,28,0,0,0,2,6,-10.22347781
"2bq7",1,135,0,20,29,0,15,72,0,2,49,2,0,0,0,15,-9.739934943
"2bqv",2,148,0,14,46,0,37,53,2,2,30,0,0,0,0,4,-11.121486
"2bt9",8,98,0,6,5,0,86,9,4,4,12,0,0,0,0,10,-8.551801035
"2bvd",13,162,0,0,0,0,63,112,8,3,15,0,0,0,2,12,-8.289306335
"2byr",1,122,0,3,21,0,33,66,0,1,48,2,1,0,0,2,-11.81226153
"2bza",3,73,0,2,39,0,2,33,3,0,9,0,0,0,1,6,-3.868342956
"2c1p",2,86,0,9,8,0,68,3,1,1,22,0,0,0,0,6,-7.460375701
"2c4v",18,136,0,4,21,0,41,88,2,9,8,0,0,0,6,16,-3.592032745
"2c80",13,172,4,15,6,62,17,81,3,8,19,0,0,0,4,16,-7.363667127
"2c92",11,239,2,33,33,45,23,114,3,7,27,0,4,0,1,15,-7.847209997
"2c94",13,215,2,31,31,37,21,106,4,9,25,0,4,0,1,6,-9.422178201
"2c97",9,113,0,12,23,32,6,49,1,6,11,0,2,0,1,11,-8.482723483
"2ca8",13,129,4,15,4,52,12,55,3,6,5,0,0,0,4,11,-6.43802792
"2cbz",11,166,20,0,22,62,44,29,0,8,17,0,4,0,5,9,-5.429495649
"2ccb",4,101,0,9,0,0,92,4,4,1,29,0,10,0,0,0,-10.29255537
"2ccc",2,82,0,5,0,0,79,0,1,1,34,0,9,0,0,9,-10.72083619
"2cex",10,104,0,4,2,4,84,20,3,3,8,0,0,0,2,7,-6.493289962
"2cf8",4,129,0,31,27,0,17,58,3,1,36,0,0,0,0,8,-11.19056355
"2cf9",4,129,0,28,29,0,19,57,3,1,37,0,0,0,0,3,-10.80372926
"2cht",7,113,9,7,0,5,84,15,1,5,13,0,0,0,2,5,-7.626161828
"2cji",0,105,0,32,26,0,22,25,0,1,31,0,0,0,0,5,-11.35634968
"2csn",1,59,0,15,0,7,30,8,0,1,18,0,0,0,1,20,-6.092640156
"2d1n",8,182,1,14,62,27,12,74,2,2,25,1,0,0,1,4,-11.2596411
"2dri",17,153,0,1,0,55,33,81,4,6,20,0,0,0,0,5,-9.518886774
"2dw7",13,145,0,0,0,0,104,54,2,6,3,0,0,0,7,30,-6.493289962
"2er6",14,211,0,16,53,0,38,118,9,2,32,0,0,1,3,6,-9.974798623
"2ewb",6,86,1,0,18,14,16,43,0,0,14,0,0,0,0,10,-8.42746144
"2f1g",3,118,0,5,43,9,8,56,1,1,25,0,0,0,0,12,-10.41689496
"2f2h",12,184,0,1,1,0,67,127,5,3,18,0,0,1,0,7,-7.874841018
"2f34",8,120,6,19,3,50,35,15,2,5,14,1,0,0,1,7,-9.518886774
"2f35",8,127,8,17,2,47,44,17,2,6,12,1,0,0,1,12,-7.460375701
"2f5t",17,196,11,30,26,28,49,69,6,6,7,0,0,0,0,5,-7.142618958
"2f6t",9,119,10,1,8,35,9,65,1,7,27,0,0,0,1,5,-6.382765878
"2f7o",9,131,0,0,2,7,0,131,7,0,11,0,0,0,2,7,-10.27873986
"2f7p",13,146,0,0,2,7,26,124,7,1,13,0,0,0,2,14,-9.118236968
"2f81",4,156,0,24,38,0,53,45,3,3,20,0,0,0,0,14,-14.53391711
"2f8g",7,154,0,20,37,0,49,55,3,3,26,0,0,0,0,14,-12.01949419
"2fgu",7,160,0,21,39,0,55,52,3,2,33,0,0,0,2,14,-12.68263869
"2fgv",7,155,0,22,41,0,53,46,3,2,29,0,0,0,2,1,-8.455092461
"2fpz",3,84,0,6,47,0,2,32,2,0,9,0,0,0,0,12,-5.470942181
"2fqo",13,172,2,24,8,47,69,35,3,3,12,0,0,0,2,12,-8.883373289
"2fqt",12,178,2,24,6,39,87,32,4,3,12,0,0,0,2,5,-8.482723483
"2fqw",7,136,0,3,4,28,5,103,4,2,33,0,2,0,0,6,-9.228761053
"2fqx",9,155,0,3,10,35,6,110,2,2,38,0,2,0,0,6,-9.878090049
"2fqy",9,160,0,1,16,34,19,99,0,2,41,0,2,0,0,6,-9.076790437
"2fw6",14,140,5,23,9,22,29,66,0,11,6,0,0,0,2,6,-4.034129083
"2fwp",13,139,7,22,7,22,29,65,0,11,6,0,0,0,2,1,-4.034129083
"2fx6",4,85,0,7,45,0,3,34,1,1,7,0,0,0,0,7,-5.111738906
"2fxv",8,156,13,23,6,16,64,42,3,7,19,0,2,0,0,6,-7.391298149
"2fzg",11,154,5,2,28,72,25,33,0,4,6,0,0,0,3,7,-4.669642569
"2fzk",12,189,3,2,12,86,28,70,1,8,3,1,0,0,5,8,-4.973583801
"2fzz",5,185,0,44,43,0,27,76,2,1,52,0,3,3,0,7,-14.53391711
"2g00",4,167,0,32,50,0,24,65,4,1,48,0,3,3,0,5,-13.45630728
"2gh7",8,111,0,0,8,0,79,32,2,5,25,0,0,0,0,6,-17.96016373
"2gl0",6,160,0,5,17,0,14,130,0,2,34,0,5,0,0,13,-6.659076089
"2gst",12,184,4,14,9,76,61,32,3,7,28,0,1,1,3,7,-8.386014909
"2gsu",7,108,1,0,8,38,15,53,1,2,17,0,0,1,4,11,-4.95976829
"2gv6",8,134,0,34,45,0,10,53,4,2,18,0,0,0,0,12,-10.14058475
"2gv7",10,189,0,7,94,0,3,95,6,2,21,0,0,0,1,5,-10.84517579
"2gvv",6,77,0,0,5,0,32,46,1,2,6,0,0,0,0,7,-5.388049118
"2gyi",7,115,0,3,0,5,75,39,0,1,3,1,0,0,3,16,-9.670857391
"2gzl",10,199,3,30,33,14,47,82,5,6,40,0,0,0,2,6,-6.659076089
"2h4g",9,95,8,0,4,29,3,60,1,6,17,0,0,0,2,5,-9.007712884
"2h4k",7,99,6,0,4,34,1,61,0,5,19,0,0,0,3,3,-7.584715296
"2h4n",8,78,0,0,2,5,45,34,0,3,5,0,0,0,1,4,-12.01949419
"2hb1",6,85,8,0,4,27,2,50,0,6,18,0,0,0,3,15,-5.249894012
"2hb3",6,136,0,20,38,0,35,49,3,3,21,0,0,0,0,12,-15.68060448
"2hh5",7,153,0,33,47,11,19,50,2,1,35,0,0,0,0,14,-10.34781741
"2hs1",10,147,0,23,38,0,47,49,2,3,23,0,0,0,0,14,-11.71555295
"2hs2",9,156,0,22,39,0,50,54,2,2,25,0,0,0,0,5,-11.48068927
"2hu6",3,94,4,5,46,20,9,13,2,2,27,0,1,0,0,8,-5.263709523
"2hxm",9,129,7,2,25,24,15,65,1,8,26,1,2,1,0,15,-7.211696511
"2i0a",6,130,0,18,30,0,38,50,2,3,27,1,0,0,0,6,-15.74968204
"2i3i",6,128,0,40,5,29,44,16,4,2,29,0,0,0,2,2,-10.08532271
"2ihq",1,103,22,0,2,73,0,7,1,0,35,0,0,1,0,7,-11.72936846
"2iko",5,133,0,0,30,0,40,68,4,0,22,0,0,0,0,13,-7.529453254
"2il2",3,174,0,9,44,0,71,53,3,3,38,1,0,0,0,3,-9.809012496
"2iuz",1,146,0,0,4,0,46,97,0,2,57,0,8,0,0,6,-7.66760836
"2izl",7,112,0,0,9,0,89,21,5,2,19,0,0,0,0,5,-8.289306335
"2j2u",2,113,0,36,31,0,21,27,0,1,34,0,0,0,0,5,-10.12676924
"2j34",1,104,0,32,21,0,23,29,0,1,33,0,0,0,0,10,-10.80372926
"2j4i",1,134,0,36,32,0,28,39,1,1,46,0,0,0,0,17,-12.4339595
"2jxr",10,167,0,2,43,0,53,79,5,3,22,0,0,0,0,6,-9.739934943
"2mas",10,158,0,0,10,38,7,113,3,4,16,1,0,1,1,2,-10.38926394
"2pcp",0,73,0,0,20,0,49,4,0,0,40,3,0,3,0,9,-12.01949419
"2sim",11,142,0,0,0,0,74,79,2,8,12,0,0,0,3,5,-4.724904611
"2tmn",6,94,0,9,0,49,22,20,1,2,8,0,0,0,3,3,-8.137335719
"2ypi",10,87,0,10,20,0,25,42,0,9,3,0,0,0,2,12,-6.659076089
"3aid",1,25,0,5,5,0,1,15,0,1,12,0,0,0,0,13,-9.477440243
"3gst",13,174,4,15,7,77,56,28,3,7,31,0,0,0,3,6,-9.284023095
"3jdw",7,71,0,0,23,0,0,55,3,5,2,0,0,0,3,6,-4.973583801
"3kiv",5,102,0,0,0,0,60,47,3,1,18,3,0,0,4,22,-6.493289962
"456c",5,124,4,22,24,41,16,22,0,2,21,1,0,0,1,7,-13.49775382
"4er1",5,164,0,2,42,0,44,81,5,1,43,0,1,0,0,21,-9.145867989
"4fiv",11,224,0,28,44,0,44,119,6,4,35,2,0,0,0,6,-9.007712884
"4rsk",8,90,0,17,0,28,40,13,1,4,3,0,0,0,2,4,-5.968300561
"4std",1,70,3,0,0,7,42,19,0,1,27,0,0,3,0,20,-14.27142241
"4tmk",16,355,30,3,14,235,51,38,2,12,40,0,1,0,8,6,-10.63794313
"5abp",12,154,0,0,3,58,6,99,4,5,7,0,0,0,0,30,-9.17349901
"5er2",9,195,0,14,57,0,37,96,7,2,29,0,0,0,0,5,-9.076790437
"5std",2,69,1,0,0,24,38,8,0,1,40,1,1,4,0,10,-14.49247058
"5tln",7,116,0,9,1,53,32,28,2,3,16,0,0,1,2,14,-8.800480225
"5tmn",8,143,0,15,0,26,40,70,2,3,23,0,0,0,4,20,-11.10767049
"5tmp",12,348,34,3,14,249,22,38,1,10,41,0,1,0,11,4,-10.32018639
"5yas",2,78,0,6,0,0,33,41,1,1,1,0,0,0,0,4,-4.503856442
"6abp",12,119,0,0,0,43,0,88,3,5,6,0,0,0,0,12,-8.786664715
"6cpa",13,183,0,7,0,7,25,157,2,6,13,0,1,0,7,6,-15.91546816
"6fiv",13,180,0,19,31,0,80,63,4,2,8,0,0,0,2,19,-11.16293253
"6tim",10,121,0,18,18,0,35,60,2,5,6,0,0,0,1,4,-4.434778889
"7abp",12,131,0,0,1,48,3,91,3,5,6,0,0,0,0,4,-8.92481982
"7std",0,67,3,0,0,7,26,31,0,0,39,0,0,1,0,7,-14.81022732
"7upj",3,100,0,13,16,0,23,51,1,3,15,1,0,0,0,6,-11.72936846
"8abp",13,153,0,0,4,55,7,100,4,5,8,0,0,0,0,6,-11.05240845
"966c",4,115,7,17,21,38,10,26,1,2,15,1,0,0,1,7,-10.55505007
"9abp",13,154,0,0,2,66,3,96,4,5,8,0,0,0,0,19,-11.05240845
