"Complex","X2.5_contacts","X4.0_contacts","backbone_alpha","backbone_beta","backbone_other","sidechain_alpha","sidechain_beta","sidechain_other","ligand_HBD","receptor_HBD","hydrophobic","pi.cation","pi.pi","pi.t","salt_bridge","TORSDOF","MMGBSA_dG_Bind_Coulomb","MMGBSA_dG_Bind_Covalent","MMGBSA_dG_Bind_Hbond","MMGBSA_dG_Bind_Lipo","MMGBSA_dG_Bind_Packing","MMGBSA_dG_Bind_Solv_GB","MMGBSA_dG_Bind_vdW","Lig_Strain_Energy","Experimental"
"1li6",1,31,9,0,0,23,0,0,0,0,16,0,0,0,0,0,-5.83,0.23,-0.2,-18.74,0,7.46,-18.27,0.18,-5.249894012
"1lkk",12,193,0,20,9,52,83,41,1,12,26,1,0,0,5,20,-340.3,4.54,-25.31,-27.58,-0.38,302.82,-60.28,8.5,-9.463624732
"1lkl",15,194,0,19,10,52,86,42,1,14,18,1,0,0,5,18,-342,1.78,-25.49,-13.68,-0.48,300.95,-48.91,6.1,-8.026811634
"1lor",17,181,0,12,9,14,55,108,3,9,10,0,0,0,1,7,1.69,2.48,-15.89,-17.5,0,-3.86,-38.58,5.66,-15.27995468
"1lpg",4,201,0,6,70,0,32,97,3,0,64,4,1,0,0,11,-245.42,2.65,-6.42,-46.97,-5.38,284.3,-64.75,5.44,-9.795196986
"1lpk",4,203,0,29,58,0,39,81,3,0,43,0,2,2,0,11,-257.68,7.15,-7.68,-37.29,-7.47,285.11,-59.31,12.02,-10.43071047
"1lpz",4,163,0,8,62,0,6,91,3,0,47,0,1,2,0,7,-158.09,0.26,-6.49,-46.83,-7.23,204.24,-57.49,7.25,-10.49978802
"1lrh",2,47,0,0,0,0,36,13,0,0,22,0,0,1,3,2,79.77,0.49,-0.54,-24.53,-2.05,-41.52,-29.66,1.54,-9.422178201
"1lyb",8,170,0,7,52,0,24,95,3,4,18,0,0,0,0,24,31.76,4.8,-2.99,-68.96,0,-8.66,-80.53,19.6,-15.77731306
"1lyx",6,85,0,11,20,0,11,49,0,6,1,0,0,0,3,3,-65.46,2.28,-13.2,-3.72,0,79.9,-20.47,1.81,-6.272241793
"1lzq",6,194,0,33,49,0,58,60,5,3,39,0,0,0,2,21,-45.48,5.35,-4.34,-64.46,-0.44,82.3,-88.37,17.24,-11.59121336
"1m0o",12,173,15,0,19,16,30,105,0,9,26,0,0,0,2,8,-181.19,7.91,-19.33,-23.61,-0.1,209.43,-52.3,7.05,-3.191382939
"1m1b",9,89,5,2,1,10,40,40,0,8,1,0,0,0,4,3,46.23,2.37,-8.38,-3.63,0,-0.9,-25.9,2.31,-6.43802792
"1m2p",2,97,0,8,6,0,67,18,0,1,26,0,0,0,0,3,-5.87,0.5,-2.58,-23.86,-0.1,2.66,-42.34,2.29,-8.441276951
"1m2r",2,95,0,7,12,0,52,26,1,1,31,0,0,0,0,4,-13.5,1.83,-1.48,-30.02,-0.44,12.82,-39.11,2.26,-8.92481982
"1m2x",5,71,0,0,3,2,1,70,0,3,13,0,0,0,2,4,22.14,2.46,-6.09,-14.58,0,-6.05,-24.43,5.01,-5.733436882
"1m5w",8,138,0,0,5,12,38,91,1,7,5,0,0,0,5,7,-12.86,4.24,-14.13,-11.31,0,32.29,-31.81,5.03,-5.899223008
"1m7d",9,123,0,6,43,0,62,21,6,1,14,0,0,0,0,13,-71.58,5.77,-4.55,-36.95,0,58.49,-58.3,7.28,-8.607063078
"1m7i",6,151,0,7,57,0,52,41,4,2,16,0,0,0,0,22,-47.75,3.65,-2.64,-46.49,0,60.86,-75.01,14.04,-7.460375701
"1m83",21,269,15,38,23,57,71,86,3,15,9,0,0,0,6,11,-139.01,7.34,-21.83,-14.21,-0.37,128.5,-58.03,17.98,-4.69727359
"1m9n",16,275,34,18,45,42,25,127,3,13,14,0,0,0,2,6,-130.23,7.98,-12.59,-15.16,-0.2,100.67,-56,12.49,-9.560333306
"1mai",13,150,0,0,13,0,97,53,0,10,2,0,0,0,7,9,-376.33,3.06,-30.61,-5.69,0,346.87,-19.98,-1.85,-9.228761053
"1mes",6,169,0,19,38,0,52,66,2,4,41,0,0,0,0,14,-33.4,5.93,-3.41,-62.38,0,47.08,-67.99,17.12,-10.63794313
"1met",9,171,0,23,41,0,71,45,3,4,44,0,0,0,0,14,-32.75,5.09,-3.93,-61.37,-0.18,48.96,-66.31,16.81,-12.98657992
"1meu",5,163,0,16,37,0,60,55,2,4,35,0,0,0,0,14,-28.87,6.03,-3.49,-60.61,0,42.28,-66.17,21.26,-8.42746144
"1mfi",6,101,0,18,0,0,59,30,1,3,29,0,0,1,1,3,-59.58,1.96,-4.19,-29.37,-0.73,47.7,-31.71,2.07,-7.722870402
"1mh5",5,123,0,0,10,0,77,41,1,3,46,0,1,0,2,14,-67.82,4.59,-7.65,-38.36,-2.4,79.59,-59.4,7.87,-12.72408522
"1mj7",5,127,0,0,10,0,75,47,1,2,44,0,1,0,2,14,-75.18,4.08,-4.41,-40.3,-3.96,90.47,-58.04,7.17,-11.53595132
"1mjj",5,141,0,0,12,0,85,49,1,3,48,0,1,1,2,14,-78.6,3.82,-8.52,-36.78,-3.04,92.23,-63.04,6.77,-12.07475623
"1mmp",6,87,1,2,42,16,3,29,2,2,17,0,0,0,4,6,34.61,5.08,-0.98,-35.45,-0.65,-22.54,-48.92,5.35,-8.386014909
"1mmq",7,112,1,15,38,25,18,22,3,2,13,0,0,0,1,7,-34.38,4.4,-1.6,-34.77,-0.13,45.78,-47.8,7.05,-10.38926394
"1moq",10,130,7,7,46,24,9,47,2,9,1,0,0,0,1,7,-47.3,4.41,-11.41,-11.6,0,34.18,-28.68,5.99,-4.780166653
"1mq5",1,150,0,40,21,0,37,53,0,1,48,3,1,1,1,6,-48.21,2.5,-0.59,-67.12,-3.75,110.06,-75.61,2.72,-12.4339595
"1mrn",8,212,20,3,2,93,26,76,2,3,31,1,3,0,5,20,-54.84,9.16,-10.87,-35.42,-6.21,93.82,-82.79,13.78,-6.244610772
"1mrs",8,171,19,6,6,73,23,52,1,3,23,0,1,0,3,8,131.46,5.59,-8.3,-25.09,-0.95,-90.39,-45.72,11.41,-5.470942181
"1mrw",3,159,0,20,42,0,54,46,3,1,27,0,0,0,0,10,-32,-0.15,-2.97,-68.14,-0.29,48.81,-91.24,6.25,-13.40104524
"1mrx",4,150,0,13,44,0,48,49,3,1,28,0,0,0,0,10,-28.82,0.68,-2.97,-67.18,0,46.09,-89.36,7.35,-10.03006067
"1msm",3,175,0,26,38,0,67,47,3,1,43,0,0,0,0,11,-33.32,-0.69,-2.98,-75.54,-0.32,52.09,-98.67,5.36,-14.47865506
"1msn",4,167,0,17,42,0,58,54,3,1,37,0,0,0,0,11,-30.31,-0.16,-2.91,-69.97,-0.1,50.1,-91.56,8.37,-12.5582991
"1mu6",2,116,0,35,23,0,15,45,2,1,32,0,0,0,0,8,-22.51,0.4,-1.07,-37.27,-2.21,47.09,-58.31,8.38,-11.57739785
"1mu8",2,128,0,45,20,0,23,42,2,1,36,0,0,0,0,8,-13.56,-4.75,-0.62,-38.22,-2.31,39.04,-56.89,7.74,-12.4339595
"1n1m",5,96,3,0,0,41,2,55,2,1,19,0,0,0,3,3,-104.55,1.19,-2.5,-24.54,0,90.03,-29.91,1.84,-7.874841018
"1n3i",6,141,2,28,0,18,41,58,5,2,21,0,0,1,0,5,-51.19,5.66,-2.47,-34.26,-0.24,29,-44.19,6.37,-12.28198889
"1n4h",1,54,3,1,7,24,2,18,0,2,14,0,0,0,2,5,-30.79,3.56,-3.54,-72.16,0,42.87,-54.15,4.23,-9.049159415
"1n51",9,207,0,0,1,7,66,142,5,2,27,1,2,0,3,10,-164.1,5.51,-6.15,-38.32,-2.84,177.55,-54.25,21.06,-6.700522621
"1n8v",1,33,3,0,5,20,0,6,1,0,12,0,0,0,0,12,1.62,2.7,-0.71,-60.66,0,19.24,-39.06,2.96,-8.330752866
"1nc3",11,172,0,29,21,28,54,51,6,2,19,0,0,0,0,6,-28.57,-0.12,-7.64,-33.89,-0.62,23.98,-50.7,3.83,-6.907755279
"1ndv",3,137,13,0,22,36,33,36,3,0,44,1,2,0,2,5,-188.13,8.97,-9.92,-39.12,-0.94,170.98,-34.93,12,-8.17878225
"1nf8",7,119,6,0,10,33,32,45,1,6,32,0,0,0,3,5,-147.49,-0.4,-12.68,-33.29,0,154.49,-35.1,3.07,-10.80372926
"1nfu",1,127,0,33,33,0,24,38,1,1,43,0,0,0,0,7,-135.25,1.69,-2.24,-37.17,-0.59,172.76,-55.93,13.38,-10.69320517
"1nfw",1,126,0,29,26,0,23,49,0,1,43,0,2,1,0,5,-40.37,1.39,-0.54,-41.65,-7.73,96.77,-55.43,14.37,-12.37869746
"1nfx",1,128,0,31,27,0,24,47,0,1,44,0,2,1,0,7,-55.8,1.4,-0.98,-38.36,-6.61,94.29,-56.23,22.77,-11.770815
"1nh0",7,200,0,30,51,0,63,63,4,4,39,0,0,0,1,23,-85.97,-1.1,-9.75,-56.69,-0.5,95.65,-95.49,15.15,-13.45630728
"1njc",12,143,4,11,0,14,70,56,2,11,4,0,0,0,4,6,7.56,2.15,-20.31,-11.52,-0.48,-13.51,-25.72,3.64,-7.66760836
"1njd",12,171,6,10,0,12,74,81,2,9,3,0,0,0,4,5,-4.77,2.39,-17.07,-10.55,-0.01,-1.34,-32.68,3.9,-7.695239381
"1nl9",18,137,12,0,12,53,9,69,2,7,20,0,0,0,1,12,-168.43,0.87,-13.64,-28.21,-0.56,169.8,-59.52,10.3,-8.234044293
"1nli",5,92,1,10,18,42,26,0,3,4,21,0,2,0,0,1,-33.76,0.54,-5.88,-5.03,-1.39,22.74,-24.48,0.62,-4.95976829
"1nm6",3,122,0,36,21,0,15,53,2,1,47,0,1,0,0,2,-41.06,1.1,-1.82,-54.47,-3.66,90.72,-71.95,4.16,-13.88458811
"1no6",11,115,12,0,10,51,8,45,0,5,28,0,0,0,1,4,-148.38,3.89,-10.49,-16.79,-0.53,151.12,-39.86,3.16,-6.092640156
"1nq7",1,57,3,1,7,25,0,22,0,2,24,0,0,0,2,6,-32.78,0.77,-3.56,-76.46,0,50.98,-58.51,2.73,-9.394547179
"1nt1",3,121,0,47,17,0,20,40,2,1,37,0,0,0,0,1,-26.28,5.76,-0.96,-61.2,0,61.38,-66.37,8.55,-12.28198889
"1nw4",8,134,0,37,3,15,41,46,2,1,16,0,0,1,0,5,-42.12,1.6,-4.29,-26.85,-0.26,37.22,-42.37,4.66,-12.53066808
"1nwl",5,82,8,0,14,30,0,35,2,2,13,0,0,0,0,11,-100.83,8.06,-5.92,-24.49,0,98.2,-41.79,14.33,-3.301907023
"1nz7",22,169,12,0,14,71,9,85,2,11,30,0,1,0,2,19,-241.48,2.32,-20.37,-39.44,-0.47,230.27,-71.36,8.67,-9.836643517
"1o0f",7,141,0,4,0,25,65,54,2,6,11,1,2,0,4,8,-172.4,4.89,-23,-5.96,-5.43,165.76,-37.81,8.47,-7.322220596
"1o0m",9,98,0,24,0,19,49,15,1,6,5,0,0,0,3,6,-111,2.11,-14.83,-7.4,0,89.79,-33.25,5.26,-7.114987937
"1o0n",6,89,0,17,0,14,42,22,2,3,5,0,0,0,2,6,-84.14,3.55,-11.43,-5.7,0,69.28,-30.84,6.05,-5.650543818
"1o0o",4,94,0,9,0,22,54,13,0,5,7,2,2,0,3,8,-158.87,3.68,-20.45,-2.25,-4.52,144.1,-25.8,6.27,-7.045910385
"1o2g",4,120,0,16,39,0,9,60,3,0,25,1,0,1,0,5,-278.46,3.21,-7.85,-27.88,-0.3,282.18,-45.65,8.84,-8.455092461
"1o2h",8,151,0,10,64,0,3,82,4,0,19,0,0,0,0,6,-194.95,3.2,-3.07,-29.83,-0.43,253.04,-40.89,8.52,-9.90572107
"1o2j",6,141,0,4,60,0,5,78,3,0,23,0,0,0,0,7,-196.5,3.46,-3.29,-24.71,-0.61,234.52,-40.91,5.72,-9.560333306
"1o2k",5,141,0,4,61,0,5,76,3,0,20,0,0,0,0,7,-201.47,5.55,-3.35,-24.66,-0.47,228.89,-39.61,7.61,-9.560333306
"1o2n",9,161,0,33,43,0,13,81,4,0,30,0,0,0,0,5,-197.61,2.84,-3.26,-30.04,-1.8,236.44,-50.82,6.67,-8.41364593
"1o2o",12,161,0,13,61,0,11,88,4,0,26,0,0,0,0,7,-194.99,2.55,-3.62,-24.15,-1.7,222.46,-39.14,-3.06,-8.786664715
"1o2q",9,162,0,18,54,0,13,86,5,0,27,0,0,0,0,6,-191.85,3.53,-3.02,-38.75,-1.81,249.2,-52.32,5.93,-10.61031211
"1o2s",6,117,0,4,54,0,5,60,3,0,16,0,0,0,0,4,-210.8,1.66,-3.02,-14.5,-0.16,240.19,-30.71,4.28,-7.557084275
"1o2w",8,137,0,7,56,0,4,78,3,0,16,0,0,0,0,8,-36.19,5.73,-4.05,-18.36,-2.41,66.93,-35.87,8.45,-8.082073676
"1o2x",7,140,0,23,39,0,7,78,3,0,19,0,0,0,0,8,-44.67,5.33,-4.3,-18.3,-2.08,71.1,-35.87,8.09,-8.082073676
"1o2z",8,157,0,9,64,0,3,89,3,1,23,1,0,1,0,10,-36.06,6.32,-3.97,-24.1,-1.93,94.31,-43.58,9.05,-8.441276951
"1o30",10,174,0,10,65,0,3,106,4,1,26,1,0,1,0,9,-44.16,2.37,-3.33,-23.26,-0.98,88.29,-40.34,3.37,-9.353100648
"1o33",4,120,0,6,53,0,5,60,3,0,15,0,0,0,0,4,-207.63,3.57,-3.13,-14.43,-0.29,219.11,-30.98,6.64,-7.93010306
"1o36",0,7,0,0,3,0,1,3,0,0,0,0,0,0,0,9,-37.31,4.66,-3.9,-23.78,-2.67,82.84,-45.34,9.09,-8.234044293
"1o38",6,143,0,6,58,0,6,79,3,0,25,1,0,1,0,8,-286.8,2.79,-3.65,-22.85,-2.75,320.85,-45.46,5.12,-9.422178201
"1o3d",7,139,0,10,57,0,5,74,4,0,24,1,0,1,0,5,-220.94,1.5,-3.55,-20.85,-2.41,245.14,-40.48,5.08,-9.850459028
"1o3h",4,139,0,4,58,0,4,77,4,0,24,0,0,0,0,4,-206.36,3.41,-3.03,-22.16,-2.83,248.13,-33.92,6.58,-10.08532271
"1o3i",4,149,0,8,62,0,5,78,3,0,24,0,0,0,0,4,-184.73,0.52,-2.68,-21.48,-2.58,234.18,-37.62,3.02,-10.08532271
"1o3j",6,138,0,6,56,0,4,78,3,0,24,0,0,0,0,4,-212.53,1.93,-3.11,-19.01,-2.3,237,-34.73,4.56,-9.353100648
"1o3k",5,147,0,7,59,0,5,81,3,0,25,0,0,0,0,4,-204.47,0.62,-3.01,-17.28,-1.95,229.19,-33.18,3.88,-9.353100648
"1o7o",10,189,2,23,9,61,10,94,2,8,22,0,1,0,5,8,-53.23,5.13,-13.72,-20.36,-0.73,57.91,-43.69,6.29,-6.203164241
"1oar",0,134,0,0,1,0,128,5,0,0,64,0,9,0,1,3,-45.1,-0.01,-2.67,-26.54,-13.27,45.79,-41.58,0.47,-10.22347781
"1oba",0,31,0,0,3,0,28,0,0,0,15,4,0,0,0,3,-23.18,0.99,-0.01,-19.36,0,27.09,-16.31,1.47,-3.370984576
"1ocq",19,155,0,0,20,0,83,71,4,4,9,2,0,0,2,10,-58.32,3.68,-7.25,-22.27,0,53.2,-36.38,3.41,-7.17024998
"1od8",9,155,0,0,0,0,47,117,3,3,16,0,0,0,0,6,-46.55,-0.26,-4.83,-17.54,0,51.82,-40.16,3.74,-7.045910385
"1odj",10,168,0,37,7,0,42,92,1,2,18,0,0,0,0,6,-23.06,5.35,-4.23,-20.12,-0.19,19.66,-42.8,7.64,-5.664359329
"1ody",10,206,0,50,47,0,41,78,6,4,38,0,0,0,0,21,-75.05,5.92,-6.37,-67.56,-0.33,72,-93.81,20.36,-11.19056355
"1oe8",11,130,7,13,7,54,10,50,3,5,8,0,0,0,4,11,-60.55,3.66,-7.84,-13.41,0,44.78,-34.02,4.97,-7.626161828
"1ofz",7,76,0,0,0,0,83,0,2,3,10,0,0,0,0,4,-29.94,-3.77,-4.68,-16.12,0,20.05,-22.57,5.35,-6.382765878
"1ogg",9,154,0,0,15,1,92,55,2,5,25,0,0,0,0,16,-70.31,4.14,-2.71,-50.82,0,52.53,-63.52,7.49,-7.17024998
"1ogx",6,60,2,0,0,16,48,0,1,1,15,0,0,2,0,1,-19.79,0.79,-1.34,-37.68,-0.65,14.33,-33.11,1.13,-8.41364593
"1ohr",4,121,0,11,34,0,43,37,3,1,25,0,0,0,2,12,-41.72,1.3,-3.06,-68.96,0,56.99,-84.13,10.92,-12.01949419
"1oif",12,111,0,0,0,0,42,81,4,2,12,2,0,0,2,4,-23.54,1.29,-4.2,-19.02,0,46.58,-25.26,4.03,-10.66557415
"1okl",4,85,0,0,3,6,49,31,0,1,14,0,0,0,1,3,5.31,0.85,-2.24,-21.11,-1.06,-7.51,-25.83,2.64,-8.330752866
"1ony",17,177,12,0,13,65,8,96,3,8,24,0,0,0,1,16,-129.44,0.44,-15.32,-28.25,-0.26,128.79,-62.12,13.35,-9.353100648
"1onz",9,117,12,0,10,47,9,48,0,5,17,0,0,0,1,5,-133.41,2.57,-10.34,-14.49,-0.75,133.52,-41.16,1.65,-7.045910385
"1os0",9,135,0,6,3,31,34,70,2,3,21,1,0,1,6,13,52.07,4.77,-6.71,-36.42,-1.88,1.7,-55.19,12.48,-8.330752866
"1os5",2,90,3,0,10,20,0,59,0,1,31,0,1,0,0,10,-23.25,-1.32,-1.78,-50.65,-2.66,32.18,-52.25,16.86,-9.463624732
"1oss",3,82,0,7,45,0,4,29,3,0,15,0,0,0,0,2,-177.94,1.59,-7.22,-10.98,0,171.81,-24.52,2.93,-6.617629557
"1ow4",1,69,3,0,0,65,0,2,0,2,23,0,0,0,2,3,9.47,0.58,-2.32,-35.15,-1,0.28,-43.2,1.71,-7.847209997
"1owd",5,109,0,8,42,0,5,59,3,0,16,0,0,0,1,5,-209.29,2.27,-7.62,-30.32,-0.21,247.64,-45.66,4.28,-11.32871866
"1owe",5,106,0,8,42,0,3,58,3,0,17,1,0,0,0,4,-193.4,2.32,-7.82,-18.01,-0.22,217.18,-41.74,2.59,-8.565616546
"1owh",6,116,0,6,44,0,5,67,4,0,18,1,0,0,1,7,-240.22,1.74,-8.69,-19.82,-0.22,253.49,-43.05,2.67,-10.22347781
"1oyq",5,148,0,28,39,0,24,62,4,0,29,0,0,0,0,13,-226.67,2.92,-8.48,-33.41,-0.8,247.28,-54.26,7.19,-9.615595348
"1oyt",5,122,0,31,28,0,13,55,2,1,26,0,0,0,0,5,-140.3,3.74,-7.86,-36.95,-0.21,145.26,-61.67,7.27,-10.00242964
"1p1n",9,128,8,11,4,53,37,24,0,6,24,1,0,0,2,4,-95.98,2.35,-13.13,-23.47,0,122.69,-34.51,3.84,-9.394547179
"1p1o",11,165,5,25,4,53,64,25,3,7,12,0,0,0,2,4,-50.54,12.56,-4.96,-10.7,-0.07,18.02,-28.18,15.18,-7.957734081
"1p28",1,25,0,0,0,26,0,0,0,1,5,0,0,0,0,2,-21.84,3.16,-0.52,-12.36,0,16.78,-12.75,3,-7.488006722
"1pbk",8,133,0,0,26,13,35,67,3,3,23,0,0,0,0,9,-56.16,5.8,-3.38,-46.95,0,42.84,-62.04,14.68,-12.50303705
"1pdz",3,67,0,5,5,0,31,29,0,4,2,0,0,0,7,3,68.62,1.26,-10.84,-1.78,0,-29.45,-17.6,1.13,-5.111738906
"1pfu",2,65,4,20,0,10,28,5,2,0,8,0,0,0,1,5,-11.96,1.37,-3.63,-26.56,0,15.69,-27.3,1.15,-3.757818872
"1pgp",13,134,0,2,6,89,7,43,0,9,1,0,0,0,5,11,-198.99,2.66,-12.71,-4.41,0,203.31,-30.56,13.63,-7.874841018
"1pot",10,170,0,0,6,17,78,79,5,1,30,3,0,0,4,9,-288.06,1.65,-3.72,-34.11,0,257.08,-30.37,1.84,-7.584715296
"1ppc",6,135,0,7,67,0,2,65,3,1,26,0,0,0,0,10,-302.27,3.21,-8.71,-33.16,-0.13,308.78,-56.4,4.54,-8.510354504
"1pph",6,125,0,5,67,0,5,54,4,2,16,0,0,0,0,8,-296.2,2.27,-8.31,-30.07,0,315.01,-50.55,9.56,-8.17878225
"1ppk",5,125,0,3,31,0,28,68,3,3,13,0,0,0,0,18,94.55,1.18,-3.1,-47.1,0,-30.04,-75.08,7.57,-10.58268109
"1ppl",5,138,0,3,30,0,30,80,3,2,18,0,0,0,0,13,103.2,2.08,-2.55,-50.13,-0.02,-18.45,-82.38,17.85,-11.81226153
"1pro",10,171,0,20,49,0,48,64,3,6,40,0,0,0,0,5,-40.86,4.87,-3.48,-58.01,-0.06,49.33,-76.48,9.81,-15.61152693
"1ps3",11,143,0,0,13,6,4,131,7,1,13,0,0,0,0,7,-59.73,3.23,-5.17,-15.39,0,87.43,-38.07,7.03,-3.149936407
"1px4",5,88,0,0,2,0,10,81,2,1,11,0,0,0,0,19,-28.84,3.12,-2.16,-28.19,0,88.04,-33.07,3.45,-4.46240991
"1pyn",13,208,6,0,14,102,5,94,2,9,25,0,0,0,2,10,-189.25,2.6,-14.83,-32.06,-0.82,173.09,-61.36,9.23,-7.584715296
"1pzi",11,120,0,0,12,12,35,72,3,4,16,0,0,0,0,5,-35.48,4.49,-3.43,-14.63,0,28.84,-31.96,10.11,-5.830145455
"1pzo",1,73,0,21,2,12,37,2,0,2,25,0,0,0,0,6,-6.87,0.25,-0.82,-34.48,-0.21,12.49,-36.02,2.11,-4.586749505
"1pzp",0,45,20,0,0,15,6,4,0,0,24,0,0,0,0,5,-12.38,0.91,-1.04,-31.05,0,19.47,-38.64,1.41,-4.572933995
"1q1g",7,141,0,38,3,15,47,45,2,0,27,0,0,1,0,8,-40.65,4.54,-3.6,-40.02,-0.64,41.25,-46.49,4.7,-11.83989255
"1q54",8,145,0,18,0,38,68,29,1,5,8,0,0,0,9,3,-3.63,10.84,-18.49,-20.79,0,46.24,-33.1,13.04,-8.082073676
"1q91",5,136,3,0,15,21,2,100,0,4,35,1,1,1,2,6,-105.17,2.39,-10.4,-21.96,-2.04,98.53,-49.62,11.69,-5.733436882
"1q95",19,183,12,0,2,63,37,88,0,17,9,0,0,0,9,11,-381.51,2.71,-27.95,-11.18,0,366.81,-33.42,7.04,-10.45834149
"1qan",7,171,0,19,39,15,37,68,5,3,22,0,0,0,2,10,-29.8,2.93,-5.63,-30.63,0,31.59,-69.88,9.7,-6.18934873
"1qb1",5,166,0,6,72,0,5,88,3,1,26,0,0,0,0,9,-127.76,0.92,-7.81,-29.09,-0.32,170.52,-53.47,14.68,-9.353100648
"1qb6",5,160,0,22,45,0,40,58,3,2,21,0,0,0,0,7,-346.62,5.45,-9.25,-18.69,-0.27,355.97,-47.95,8.85,-8.372199398
"1qb9",6,143,0,5,59,0,6,79,3,0,25,0,0,0,0,9,-205.25,2.89,-7.58,-38.57,-0.41,235.29,-56.01,5.08,-10.27873986
"1qbn",3,140,0,19,40,0,24,60,3,2,26,0,0,2,0,8,-132.04,-0.58,-10.84,-22.86,-1.8,169.04,-56.25,7.46,-8.082073676
"1qbo",4,151,0,5,60,0,5,85,3,0,28,0,0,0,0,9,-374.48,3.21,-7.67,-35.76,-0.46,390.07,-53.08,6.84,-10.69320517
"1qbq",3,91,4,0,0,37,22,31,0,3,24,0,0,0,4,14,-130.43,3.15,-11.89,-39.7,0,146.93,-43.43,5.68,-11.46687376
"1qbr",10,228,0,48,34,0,88,68,4,6,56,0,0,0,0,14,-44.14,-1.05,-4.23,-69.77,0,55.4,-92.87,10.68,-14.60299466
"1qbt",12,271,0,49,42,0,126,66,5,6,56,0,0,0,0,12,-56.21,0.91,-5.42,-68.03,0,62.35,-98.83,11.61,-14.67207221
"1qbu",6,155,0,16,35,0,59,51,3,4,33,0,0,0,0,9,-31.83,2.41,-3.56,-65.99,0,45.21,-74.18,10.2,-14.14708281
"1qbv",3,115,0,45,17,0,15,41,2,1,30,0,0,0,0,8,-106.25,3.17,-0.98,-41.78,-1.52,126.47,-53.04,6.85,-7.446560191
"1qca",2,77,0,0,1,20,23,35,1,0,23,0,0,0,1,12,13.15,0.56,-1.73,-63.26,0,28.57,-57.62,2.64,-7.280774064
"1qf0",8,140,2,12,3,23,43,65,2,3,28,1,1,2,1,11,164.91,3.75,-5.99,-37.2,-4.41,-82.22,-62.66,7.14,-10.19584679
"1qf1",8,136,2,9,3,21,43,66,2,3,21,1,0,1,1,7,158.15,2.27,-7.04,-30.49,-0.58,-84.68,-51.69,5.1,-10.11295373
"1qf2",7,97,0,3,1,16,32,52,0,2,25,0,0,1,0,3,164.3,2.52,-5.38,-27.54,-1.12,-97.77,-46.46,3.43,-8.17878225
"1qft",5,96,0,0,0,0,57,44,4,0,19,0,3,1,3,16,-150.48,1.2,-2.27,-12.67,-6.75,155.01,-22.53,1.44,-12.11620276
"1qhc",12,217,0,18,4,42,86,79,2,6,17,0,1,0,8,12,-166.51,3.73,-18.02,-10.9,-4.58,169.52,-54.63,15.12,-10.45834149
"1qi0",19,127,0,0,0,0,48,98,4,4,12,0,0,0,0,14,-55.01,1.01,-6.37,-13.03,0,30.13,-22.32,3.45,-3.246644981
"1qin",10,162,0,0,12,1,110,49,1,5,29,0,0,0,5,19,-2.3,4.06,-7.76,-42.83,-0.14,2.68,-59.97,17.06,-11.05240845
"1qiw",1,68,17,0,2,47,0,3,1,0,30,0,0,2,2,20,-319.34,1.5,-0.59,-69.74,-0.48,316.56,-58.26,18.08,-10.69320517
"1qji",4,104,0,22,3,18,15,50,1,2,21,0,0,0,4,1,-17.95,14.66,-2.44,-54.21,-0.14,102.66,-70.35,21.95,-6.700522621
"1qpb",4,56,0,0,12,13,0,35,1,2,3,0,0,0,0,17,-12.24,0.88,-2.46,-1.87,0,10.09,-13.12,1.57,-1.878909436
"1qxk",13,198,9,0,10,95,1,96,3,6,33,0,1,0,1,3,-97.76,4.35,-11.9,-30.78,-0.38,90.44,-55.27,14,-6.976832832
"1qy1",1,42,0,0,2,0,39,2,0,0,21,0,0,1,0,2,-4.48,0.59,-0.17,-32.56,-0.15,7.02,-31.41,0.57,-9.007712884
"1qy2",1,32,0,0,1,0,31,1,0,1,13,0,0,1,0,10,-5.05,0.67,-0.2,-28.76,-0.1,6.67,-29.1,0.47,-7.93010306
"1r1h",9,188,2,14,0,96,18,67,2,4,37,1,1,2,7,9,89.73,4.06,-9.57,-42.31,-2.39,-35.43,-56.65,11.68,-12.32343542
"1r1j",10,145,0,9,0,66,9,71,2,4,31,2,0,2,3,11,248.16,10.63,-7.23,-28.42,-1.07,-176.09,-43.06,14.51,-11.93660112
"1r4w",9,129,0,12,5,48,17,56,3,6,14,0,0,0,4,5,-78,-0.77,-7.47,-19.02,0,70.4,-41.56,4.32,-5.595281776
"1r6n",2,93,2,0,14,36,0,43,0,2,37,0,2,0,0,2,18.37,1.34,-2.58,-32.48,-7.01,-10.36,-47.78,9.68,-10.22347781
"1r9l",4,58,7,0,2,28,6,19,0,2,16,4,0,0,1,12,26.48,1.13,-0.76,-23.26,0,11.6,-27.43,1.46,-7.460375701
"1rbo",15,167,0,13,11,2,48,108,1,11,1,0,0,0,7,6,-283.68,1.12,-28.77,-6.95,0,273.82,-31.13,8.83,-17.57332943
"1rbp",0,57,0,3,2,0,46,6,0,0,32,0,0,0,0,7,-10.2,2.7,-0.29,-89.19,0,25.3,-58.54,3.09,-9.284023095
"1rd4",0,93,1,8,7,25,52,0,0,0,37,0,0,1,0,4,0.61,2.49,0,-52.57,-0.58,16.27,-52.95,9.01,-10.69320517
"1rdi",6,67,0,5,6,0,28,34,1,4,4,0,0,0,0,4,-31.37,-0.89,-2.34,-4.18,0,37.03,-15.55,5.61,-2.845995175
